# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.0,4.8,179.2029335451288,0.5,0.0,-8.241997046050344,0.0,0.0,0.0
 0.0033689968687901687,2.998298640999327,4.800023669870386,179.2029335451288,0.5101069906063705,3.0000000000000124,-8.241997046050344,0.0,-168.64321622001628,0.0
 0.007776049822889682,2.9968530189593876,4.800062541983209,178.45971396089755,0.14617946076892996,-82.57843362170388,-13.809069540388796,0.0,-116.15289690562099,0.0
 0.016763402546286048,2.995661624174331,4.8001163135451295,177.41580690656244,0.11921740259874086,-3.0,-25.872185025661516,0.0,-177.9325029646848,0.0
 0.025651988934149564,2.9947229469383068,4.800184681762805,175.83423848275206,0.09255164343515032,-2.999999999999999,-57.48795894215276,0.0,-308.8632861495371,0.0
 0.0343633828659758,2.994035477545465,4.800267343842901,173.14360872602506,0.0664174616396716,-3.0,-171.09639132549154,0.0,-673.2129999838043,0.0
 0.04267263836188641,2.9935977062899553,4.800363996992074,167.54970990599116,0.04148969515193979,-3.0,-922.9664324462286,0.0,-2493.1511887455435,0.0
 0.049792169711521554,2.993408123465928,4.800474338416984,149.79964185833714,0.020131101103034357,-2.999999999999999,-7402.632588376044,0.0,-16145.130020808549,0.0
 0.05503036929533564,2.993465219367532,4.800598065324292,65.22822850271349,0.03189651225054601,2.246079203218315,-2948.728993064906,0.0,-5343.366332139356,0.0
 0.06268023112956722,2.9937674842889184,4.800734874920658,24.35221433216264,0.054846097753240765,3.0000000000000018,-350.5843646646501,0.0,-1075.636143583801,0.0
 0.0710739931621773,2.9943134085242353,4.800884464412741,15.323580509245808,0.08002738385107103,3.0000000000000027,-94.28379209547639,0.0,-428.02194145369754,0.0
 0.07972489030909077,2.995101482367633,4.801046531007205,11.620806717107651,0.10598007529181144,3.0,-37.91746172980128,0.0,-229.1839816969002,0.0
 0.08848393598538082,2.996130196113262,4.801220771910706,9.61337375315048,0.13225721232068158,3.0,-18.953157401930945,0.0,-143.30058490556286,0.0
 0.09729280845444872,2.997398040055271,4.801406884329905,8.35105717597454,0.15868382972788528,2.9999999999999982,-10.851550182193286,0.0,-98.55755382292318,0.0
 0.10612419126032649,2.998903504487811,4.8016045654714645,7.480657689753403,0.1851779781455186,3.0000000000000018,-6.818660432458143,0.0,-72.31768697856228,0.0
 0.11496359141345561,3.0006450797050306,4.801813512542042,6.841412716401156,0.21169617860490594,3.0,-4.585485024750652,0.0,-55.61998488151875,0.0
 0.12380259192083884,3.0026212560010803,4.8020334227482975,6.349787641812765,0.23821318012705564,3.0,-3.247782545219187,0.0,-44.34036736588655,0.0
 0.132635958335877,3.00483052367011,4.802263993296894,5.958112929892489,0.2647132793721701,3.0,-2.3965543120386728,0.0,-36.365284976306036,0.0
 0.1414602560055551,3.0072713730062683,4.802504921394489,5.637214830418891,0.2911861723812044,3.000000000000003,-1.8282666017178668,0.0,-30.520321322327927,0.0
 0.15027313148306468,3.009942294303707,4.802755904247743,5.3682430390716345,0.31762479881373323,3.000000000000006,-1.4337700765079822,0.0,-26.110366527171333,0.0
 0.15907291333618837,3.0128417778565733,4.803016639063317,5.138477509527425,0.3440241443731043,3.0,-1.1508986928743117,0.0,-22.7025943730127,0.0
 0.16785837800992173,3.0159683139590183,4.803286823047872,4.939024668661223,0.3703805383943044,3.0,-0.9424463182130671,0.0,-20.016026639104883,0.0
 0.17662860616542514,3.019320392905193,4.803566153408065,4.763479548269639,0.3966912228608146,2.999999999999997,-0.7852003242951696,0.0,-17.861788102674335,0.0
 0.18538289111698147,3.0228965049892444,4.803854327350559,4.607112365474509,0.42295407771548355,2.999999999999994,-0.6641572493677352,0.0,-16.10909935478914,0.0
 0.19412067854584572,3.0266951405053253,4.804151042082013,4.4663544796419075,0.44916744000207626,2.999999999999997,-0.5693196009270969,0.0,-14.665070708964972,0.0
 0.2028415256755754,3.0307147897475835,4.8044559948090875,4.338462639842348,0.47532998139126525,2.999999999999997,-0.4938464599087825,0.0,-13.462247046409324,0.0
 0.21154507293925767,3.0349539430101684,4.804768882738443,4.221293336398557,0.5014406231823121,3.0,-0.43294637108144157,0.0,-12.45068187619325,0.0
 0.22023102388629526,3.0394110905872314,4.805089403076739,4.113147324364772,0.5274984760234248,2.999999999999997,-0.3831932652649059,0.0,-11.592751251565607,0.0
 0.2288991306563076,3.044084722772921,4.805417253030635,4.012660118758007,0.5535027963334618,2.999999999999994,-0.34209177083533454,0.0,-10.859675921753288,0.0
 0.23754918329593697,3.048973329861388,4.805752129806791,3.918723350385526,0.5794529542523499,3.0,-0.30779402875664624,0.0,-10.229137452639591,0.0
 0.24618100177969127,3.0540754021467813,4.80609373061187,3.830427292648968,0.6053484097036128,3.000000000000003,-0.27891104689811946,0.0,-9.683611983128499,0.0
 0.25479442996669766,3.0593894299232507,4.80644175265253,3.747018196241456,0.6311886942646319,2.999999999999987,-0.254384472773127,0.0,-9.20918475872919,0.0
 0.2633893309652627,3.0649139034849466,4.806795893135431,3.667866164962685,0.6569733972603269,2.9999999999999933,-0.23339783694360977,0.0,-8.79469326355853,0.0
 0.271965583535919,3.070647313126018,4.807155849267233,3.5924406542529574,0.6827021549722959,3.000000000000013,-0.21531408571897825,0.0,-8.431098716055306,0.0
