# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,7.0,3.0,90.0,0,3.0,0,0.0,0.0,0.0
 0.08926413240116807,7.0,3.011952128,90.0,0.26779239720350423,3.0000000000000004,0,0.0,0.0,0.0
 0.12598683529109891,7.0,3.0238090239999997,90.0,0.37796050587329677,3.0,0,0.0,0.0,0.0
 0.15399449340804364,7.0,3.035571456,90.0,0.461983480224131,3.0000000000000018,0,0.0,0.0,0.0
 0.17746397193045557,7.0,3.0472401920000003,90.0,0.5323919157913668,3.0,0,0.0,0.0,0.0
 0.19801683430119468,7.0,3.058816,90.0,0.5940505029035842,3.0000000000000027,0,0.0,0.0,0.0
 0.21648656309341657,7.0,3.0702996479999998,90.0,0.6494596892802499,3.0000000000000013,0,0.0,0.0,0.0
 0.23336938388171993,7.0,3.0816919040000004,90.0,0.7001081516451599,2.9999999999999982,0,0.0,0.0,0.0
 0.24898933845983554,7.0,3.092993536,90.0,0.7469680153795066,2.999999999999993,0,0.0,0.0,0.0
 0.26357201672408237,7.0,3.104205312,90.0,0.7907160501722471,2.9999999999999982,0,0.0,0.0,0.0
 0.2772820465398608,7.0,3.1153280000000003,90.0,0.8318461396195825,3.000000000000004,0,0.0,0.0,0.0
 0.2902439985024096,7.0,3.126362368,90.0,0.8707319955072288,2.9999999999999916,0,0.0,0.0,0.0
 0.30255488097203104,7.0,3.137309184,90.0,0.9076646429160932,3.000000000000009,0,0.0,0.0,0.0
 0.31429202556433605,7.0,3.148169216,90.0,0.9428760766930081,2.9999999999999907,0,0.0,0.0,0.0
 0.3255182862247014,7.0,3.158943232,90.0,0.9765548586741042,3.0,0,0.0,0.0,0.0
 0.33628559291173926,7.0,3.169632,90.0,1.0088567787352176,2.99999999999999,0,0.0,0.0,0.0
 0.34663745517951955,7.0,3.180236288,90.0,1.0399123655385585,3.0,0,0.0,0.0,0.0
 0.3566107719442398,7.0,3.190756864,90.0,1.0698323158327192,3.0,0,0.0,0.0,0.0
 0.36623716905852166,7.0,3.2011944960000003,90.0,1.0987115071755649,3.0000000000000058,0,0.0,0.0,0.0
 0.37554400718602016,7.0,3.2115499520000004,90.0,1.1266320215580605,3.0000000000000178,0,0.0,0.0,0.0
 0.38455515425835407,7.0,3.221824,90.0,1.1536654627750624,3.0000000000000187,0,0.0,0.0,0.0
 0.39329158648514234,7.0,3.2320174080000004,90.0,1.1798747594554273,3.000000000000006,0,0.0,0.0,0.0
 0.40177186229666856,7.0,3.242130944,90.0,1.205315586890006,3.000000000000013,0,0.0,0.0,0.0
 0.4100125006224405,7.0,3.252165376,90.0,1.2300375018673217,2.9999999999999867,0,0.0,0.0,0.0
 0.41802828612427684,7.0,3.2621214720000005,90.0,1.2540848583728308,3.0,0,0.0,0.0,0.0
 0.42583251793790144,7.0,3.272,90.0,1.2774975538137046,2.999999999999993,0,0.0,0.0,0.0
 0.4334372142152386,7.0,3.281801728,90.0,1.300311642645716,2.9999999999999853,0,0.0,0.0,0.0
 0.44085328171626426,7.0,3.291527424,90.0,1.322559845148793,3.000000000000015,0,0.0,0.0,0.0
 0.4480906574939199,7.0,3.3011778560000002,90.0,1.34427197248176,3.0000000000000075,0,0.0,0.0,0.0
 0.4551584280958296,7.0,3.310753792,90.0,1.365475284287489,2.999999999999992,0,0.0,0.0,0.0
 0.4620649305021968,7.0,3.320256,90.0,1.3861947915065906,2.999999999999992,0,0.0,0.0,0.0
 0.46881783811341227,7.0,3.3296852480000005,90.0,1.406453514340237,3.0000000000000084,0,0.0,0.0,0.0
 0.47542423441245274,7.0,3.3390423040000003,90.0,1.4262727032373586,3.000000000000017,0,0.0,0.0,0.0
 0.4818906763987034,7.0,3.348327936,90.0,1.4456720291961105,2.9999999999999827,0,0.0,0.0,0.0
 0.4882232494805358,7.0,3.3575429120000004,90.0,1.4646697484416076,2.999999999999991,0,0.0,0.0,0.0
 0.49442761519424333,7.0,3.3666880000000003,90.0,1.4832828455827303,3.0000000000000178,0,0.0,0.0,0.0
 0.5005090528651804,7.0,3.3757639680000002,90.0,1.5015271585955416,3.0000000000000093,0,0.0,0.0,0.0
 0.5064724961272165,7.0,3.384771584,90.0,1.5194174883816496,2.9999999999999813,0,0.0,0.0,0.0
 0.5123225650570808,7.0,3.3937116160000005,90.0,1.5369676951712428,3.0,0,0.0,0.0,0.0
 0.518063594551866,7.0,3.4025848320000005,90.0,1.5541907836555982,2.9999999999999805,0,0.0,0.0,0.0
 0.523699659474143,7.0,3.411392,90.0,1.5710989784224292,3.0000000000000195,0,0.0,0.0,0.0
 0.5292345970046427,7.0,3.420133888,90.0,1.5877037910139284,3.00000000000002,0,0.0,0.0,0.0
 0.5346720265733003,7.0,3.428811264,90.0,1.6040160797199012,3.0000000000000204,0,0.0,0.0,0.0
 0.5400153676825625,7.0,3.437424896,90.0,1.6200461030476878,2.9999999999999583,0,0.0,0.0,0.0
 0.5452678558898066,7.0,3.4459755520000006,90.0,1.63580356766942,2.9999999999999787,0,0.0,0.0,0.0
 0.5504325571766263,7.0,3.454464,90.0,1.651297671529879,3.0,0,0.0,0.0,0.0
 0.555512380900132,7.0,3.462891008,90.0,1.666537142700396,3.0,0,0.0,0.0,0.0
 0.5605100914940485,7.0,3.471257344,90.0,1.6815302744821456,3.0,0,0.0,0.0,0.0
